time,symbol,amount,value_pct
2023-01-21 03:00:00,ETH,13.668607173410859,20.038381732994143
2023-01-21 02:45:00,ETH,13.668607173410859,20.02442098305201
2023-01-21 02:30:00,ETH,13.668607173410859,20.078193714854702
2023-01-21 02:15:00,ETH,13.668607173410859,20.096229373836042
2023-01-21 02:00:00,ETH,13.668607173410859,17.20287656121741
2023-01-21 01:45:00,ETH,13.668607173410859,17.202931227343164
2023-01-21 01:30:00,ETH,13.668607173410859,17.11916777545839
2023-01-21 01:15:00,ETH,13.668607173410859,17.10902321243251
2023-01-21 01:00:00,ETH,13.668607173410859,17.13497479804992
2023-01-21 00:45:00,ETH,13.668607173410859,20.22456401188932
2023-01-21 00:30:00,ETH,13.668607173410859,20.19822618083728
2023-01-21 00:15:00,ETH,13.668607173410859,19.80013674535721
